Spirochaetes: Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Pancreatic Neoplasms, Crohn Disease, Ulcerative Colitis, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Constipation, Celiac Disease, Laryngeal Neoplasms, Parkinson Disease, Alzheimer Disease, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Lachnospiraceae: Stomach Neoplasms, Lung Neoplasms, Celiac Disease, Ulcerative Colitis, Alzheimer Disease, Crohn Disease, Colorectal Neoplasms, Pancreatic Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Constipation, Uterine Cervical Neoplasms, Thyroid Neoplasms, Head and Neck Neoplasms, Pharyngeal Neoplasms, Esophageal Neoplasms, Rectal Neoplasms
Veillonellaceae: Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Stomach Neoplasms, Lung Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Liver Neoplasms, Celiac Disease, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Esophageal Neoplasms
Roseburia sp.: Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Stomach Neoplasms, Liver Neoplasms, Celiac Disease, Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Esophageal Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Diarrhea, Head and Neck Neoplasms
Ruminococcus sp.: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Ovarian Neoplasms, Diarrhea, Pharyngeal Neoplasms, Alzheimer Disease, Laryngeal Neoplasms, Liver Neoplasms, Lung Neoplasms, Constipation, Pancreatic Neoplasms, Head and Neck Neoplasms, Coronary Artery Disease, Atherosclerosis, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Prostatic Neoplasms
Bradyrhizobium: Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Colorectal Neoplasms, Pancreatic Neoplasms, Ulcerative Colitis, Urinary Bladder Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Esophageal Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Buttiauxella agrestis: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Pharyngeal Neoplasms, Tongue Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Esophageal Neoplasms, Prostatic Neoplasms, Diarrhea
Flavobacterium: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Mouth Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Lung Neoplasms, Uterine Cervical Neoplasms, Alzheimer Disease, Pharyngeal Neoplasms, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Urinary Bladder Neoplasms, Liver Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Methylobacterium radiotolerans: Mouth Neoplasms, Urinary Bladder Neoplasms, Breast Neoplasms, Uterine Cervical Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Celiac Disease, Rectal Neoplasms, Laryngeal Neoplasms, Stomach Neoplasms, Liver Neoplasms, Gallbladder Neoplasms, Head and Neck Neoplasms, Pharyngeal Neoplasms, Constipation, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Colorectal Neoplasms, Thyroid Neoplasms
Nitrosomonas: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Pharyngeal Neoplasms, Tongue Neoplasms, Ovarian Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Diarrhea, Esophageal Neoplasms, Prostatic Neoplasms
Novosphingobium aromaticivorans: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Pharyngeal Neoplasms, Tongue Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Esophageal Neoplasms, Prostatic Neoplasms, Diarrhea
Sphingobium yanoikuyae: Celiac Disease, Breast Neoplasms, Uterine Cervical Neoplasms, Mouth Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms, Constipation, Pancreatic Neoplasms, Liver Neoplasms, Tongue Neoplasms, Irritable Bowel Syndrome, Lung Neoplasms, Alzheimer Disease, Rectal Neoplasms, Colorectal Neoplasms, Esophageal Neoplasms, Ulcerative Colitis
Streptococcus pseudopneumoniae: Mouth Neoplasms, Breast Neoplasms, Urinary Bladder Neoplasms, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Lung Neoplasms, Pancreatic Neoplasms, Pharyngeal Neoplasms, Tongue Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Laryngeal Neoplasms, Esophageal Neoplasms, Prostatic Neoplasms, Diarrhea
Pseudoflavonifractor: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Diarrhea, Atherosclerosis, Coronary Artery Disease, Hypertension, Coronary Heart Disease, Irritable Bowel Syndrome, Prostatic Neoplasms, Squamous Intraepithelial Lesions, Vascular Stiffness, Celiac Disease, Thrombosis, Breast Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Inflammatory Bowel Diseases, Liver Neoplasms
Actinomyces oris: Stomach Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Lung Neoplasms, Esophageal Neoplasms, Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Parkinson Disease, Urinary Bladder Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms
Atopobium sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Corynebacterium durum: Colorectal Neoplasms, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Crohn Disease, Ulcerative Colitis, Alzheimer Disease, Esophageal Neoplasms, Lung Neoplasms, Parkinson Disease, Pharyngeal Neoplasms, Breast Neoplasms, Mouth Neoplasms, Head and Neck Neoplasms, Constipation, Uterine Cervical Neoplasms, Laryngeal Neoplasms, Pancreatic Neoplasms, Urinary Bladder Neoplasms
Gemella sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Mogibacterium sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Porphyromonas endodontalis: Colorectal Neoplasms, Stomach Neoplasms, Celiac Disease, Liver Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Crohn Disease, Ulcerative Colitis, Lung Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Urinary Bladder Neoplasms, Parkinson Disease, Laryngeal Neoplasms, Tongue Neoplasms
Porphyromonas sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Urinary Bladder Neoplasms, Pancreatic Neoplasms, Tongue Neoplasms, Colorectal Neoplasms, Rectal Neoplasms, Ovarian Neoplasms
Prevotella nanceiensis: Colorectal Neoplasms, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Crohn Disease, Ulcerative Colitis, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Pancreatic Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Tongue Neoplasms
Rothia mucilaginosa: Stomach Neoplasms, Celiac Disease, Ulcerative Colitis, Crohn Disease, Liver Neoplasms, Lung Neoplasms, Colorectal Neoplasms, Irritable Bowel Syndrome, Alzheimer Disease, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Parkinson Disease, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Selenomonas sp.: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Streptococcus sanguinis: Crohn Disease, Irritable Bowel Syndrome, Ulcerative Colitis, Colorectal Neoplasms, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Pharyngeal Neoplasms, Uterine Cervical Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms
Streptococcus thermophilus: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Methanobacteriales: Colorectal Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Liver Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Crohn Disease, Ulcerative Colitis, Pancreatic Neoplasms, Esophageal Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Methanobrevibacter: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Coronary Artery Disease, Hypertension, Constipation
Rothia: Colorectal Neoplasms, Ulcerative Colitis, Crohn Disease, Stomach Neoplasms, Lung Neoplasms, Celiac Disease, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Acidaminococcaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Lung Neoplasms, Head and Neck Neoplasms, Alzheimer Disease, Constipation, Celiac Disease, Laryngeal Neoplasms, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Bacillaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Stomach Neoplasms, Mouth Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Burkholderiaceae: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Parkinson Disease, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Lung Neoplasms, Urinary Bladder Neoplasms, Alzheimer Disease, Celiac Disease, Head and Neck Neoplasms, Stomach Neoplasms, Irritable Bowel Syndrome, Constipation, Laryngeal Neoplasms, Tongue Neoplasms, Liver Neoplasms
Carnobacteriaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Lung Neoplasms, Pancreatic Neoplasms, Alzheimer Disease, Breast Neoplasms, Mouth Neoplasms, Irritable Bowel Syndrome, Stomach Neoplasms, Liver Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms
Chloroflexi: Crohn Disease, Ulcerative Colitis, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Colorectal Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Chryseobacterium: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Deinococcus-Thermus: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Irritable Bowel Syndrome, Lung Neoplasms, Alzheimer Disease, Diarrhea, Liver Neoplasms, Coronary Artery Disease, Hypertension, Atherosclerosis, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Stomach Neoplasms, Celiac Disease, Urinary Bladder Neoplasms
Hyphomicrobiaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Parkinson Disease, Irritable Bowel Syndrome, Liver Neoplasms, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Celiac Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Constipation, Head and Neck Neoplasms, Tongue Neoplasms
Megamonas: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Parkinson Disease, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Pharyngeal Neoplasms, Liver Neoplasms, Urinary Bladder Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Neisseriaceae: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Stomach Neoplasms, Celiac Disease, Lung Neoplasms, Alzheimer Disease, Parkinson Disease, Breast Neoplasms, Irritable Bowel Syndrome, Pancreatic Neoplasms, Liver Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Constipation, Laryngeal Neoplasms, Rectal Neoplasms
Pasteurellaceae: Colorectal Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Crohn Disease, Celiac Disease, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Pancreatic Neoplasms, Breast Neoplasms, Parkinson Disease, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Head and Neck Neoplasms, Constipation, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Rhodocyclaceae: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Lung Neoplasms, Parkinson Disease, Alzheimer Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Celiac Disease, Urinary Bladder Neoplasms, Coronary Artery Disease, Constipation, Head and Neck Neoplasms, Hypertension
Synergistaceae: Colorectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Stomach Neoplasms, Crohn Disease, Ulcerative Colitis, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Laryngeal Neoplasms
Tepidimonas: Colorectal Neoplasms, Crohn Disease, Ulcerative Colitis, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Parkinson Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Head and Neck Neoplasms, Lung Neoplasms, Laryngeal Neoplasms, Alzheimer Disease, Celiac Disease, Constipation, Tongue Neoplasms, Stomach Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome
Thermus: Crohn Disease, Ulcerative Colitis, Colorectal Neoplasms, Breast Neoplasms, Pancreatic Neoplasms, Mouth Neoplasms, Parkinson Disease, Lung Neoplasms, Alzheimer Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Celiac Disease, Irritable Bowel Syndrome, Head and Neck Neoplasms, Constipation, Stomach Neoplasms, Liver Neoplasms, Laryngeal Neoplasms, Tongue Neoplasms
Burkholderia: Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Ulcerative Colitis, Crohn Disease, Uterine Cervical Neoplasms, Colorectal Neoplasms, Celiac Disease, Lung Neoplasms, Pharyngeal Neoplasms, Alzheimer Disease, Stomach Neoplasms, Urinary Bladder Neoplasms, Liver Neoplasms, Irritable Bowel Syndrome, Head and Neck Neoplasms, Constipation, Parkinson Disease, Laryngeal Neoplasms, Tongue Neoplasms
Prevotella intermedia: Colorectal Neoplasms, Celiac Disease, Stomach Neoplasms, Liver Neoplasms, Lung Neoplasms, Alzheimer Disease, Breast Neoplasms, Irritable Bowel Syndrome, Mouth Neoplasms, Pancreatic Neoplasms, Pharyngeal Neoplasms, Crohn Disease, Ulcerative Colitis, Uterine Cervical Neoplasms, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Constipation, Laryngeal Neoplasms, Tongue Neoplasms, Parkinson Disease
Prevotella nigrescens: Colorectal Neoplasms, Celiac Disease, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Mouth Neoplasms, Breast Neoplasms, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms, Stomach Neoplasms, Constipation, Crohn Disease, Ulcerative Colitis, Pancreatic Neoplasms, Tongue Neoplasms, Rectal Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Lung Neoplasms, Alzheimer Disease
Bergeriella: Celiac Disease, Stomach Neoplasms, Irritable Bowel Syndrome, Liver Neoplasms, Esophageal Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Mouth Neoplasms, Pancreatic Neoplasms, Uterine Cervical Neoplasms, Urinary Bladder Neoplasms, Colorectal Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Ovarian Neoplasms, Tongue Neoplasms, Laryngeal Neoplasms, Rectal Neoplasms
Bilophila: Crohn Disease, Colorectal Neoplasms, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Irritable Bowel Syndrome, Liver Neoplasms, Parkinson Disease, Stomach Neoplasms, Pancreatic Neoplasms, Celiac Disease, Breast Neoplasms, Mouth Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Constipation, Head and Neck Neoplasms, Laryngeal Neoplasms
Bilophila wadsworthia: Colorectal Neoplasms, Crohn Disease, Irritable Bowel Syndrome, Ulcerative Colitis, Liver Neoplasms, Stomach Neoplasms, Celiac Disease, Alzheimer Disease, Lung Neoplasms, Parkinson Disease, Pancreatic Neoplasms, Breast Neoplasms, Mouth Neoplasms, Esophageal Neoplasms, Uterine Cervical Neoplasms, Pharyngeal Neoplasms, Constipation, Head and Neck Neoplasms, Urinary Bladder Neoplasms, Laryngeal Neoplasms
